Espèce,Origine,Caractère,Trait distinctif,Niveau d'activité,Santé,Relations enfants,Entretien du pelage,Type de pelage,Robe et couleurs,Poids,Taille,Espérance de vie,Lien PNG
Sacré de Birmanie,Birmanie,"Affectueux, doux",Gants blancs,Modéré,Bonne,Excellent,Faible,Semi-long,Pointes variées,4-6 kg,Moyenne,14-16 ans,https://www.zoologiste.com//images/xl/chat/sacre-de-birmanie.jpg
Savannah,États-Unis,"Énergique, joueur",Aspect sauvage,Très élevé,Variable,Sociable,Faible,Court,Spottée,4-7 kg,Grande,12-20 ans,https://www.zoologiste.com//images/xl/chat/savannah.jpg
Scottish Fold,Écosse,"Doux, calme",Oreilles pliées,Modéré,Sensible, Amical,Faible,Court/Semi-long,Variée,3-6 kg,Moyenne,11-14 ans,https://www.zoologiste.com//images/xl/chat/scottish-fold.jpg
Selkirk Rex,États-Unis,"Doux, sociable",Pelage bouclé,Modéré,Bonne,Amical,Élevé,Bouclé,Variée,4-7 kg,Grande,12-15 ans,https://www.zoologiste.com//images/xl/chat/selkirk-rex.jpg
Siamois,Thaïlande,"Vocal, affectueux",Pointes colorées,Élevé,Sensible,Sociable,Faible,Court,Pointes variées,2-5 kg,Moyenne,15-20 ans,https://www.zoologiste.com//images/xl/chat/siamois.jpg
Sibérien,Russie,"Doux, joueur",Pelage épais,Modéré,Robuste,Excellent,Élevé,Long,Variée,4-7 kg,Grande,14-16 ans,https://www.zoologiste.com//images/xl/chat/siberien.jpg
Singapura,Singapour,"Énergique, affectueux",Petite taille,Élevé,Bonne,Sociable,Faible,Court,"Roti, sable",2-4 kg,Petite,12-15 ans,https://www.zoologiste.com//images/xl/chat/singapura.jpg
Sphynx,Canada,"Affectionné, joueur",Sans poils,Élevé,Sensible,Sociable,Faible,Nu,Variée,3-5 kg,Moyenne,14-17 ans,https://www.zoologiste.com//images/xl/chat/sphynx.jpg
Tonkinois,Thaïlande,"Sociable, vocal",Corps musclé,Élevé,Bonne,Amical,Faible,Semi-long,Variée,3-5 kg,Moyenne,12-16 ans,https://www.zoologiste.com//images/xl/chat/tonkinois.jpg
Toyger,États-Unis,"Actif, joueur",Rayures tigrées,Très élevé,Bonne,Sociable,Faible,Court,Tigrée,4-7 kg,Grande,12-15 ans,https://www.zoologiste.com//images/xl/chat/toyger.jpg
Turkish Van,Turquie,"Actif, joueur","Marque de ""van""",Élevé,Bonne,Sociable,Modéré,Semi-long,Blanc avec marques,4-7 kg,Moyenne,12-17 ans,https://www.zoologiste.com//images/xl/chat/turkish-van.jpg
